ID,Name,Start Date,Forecast Hour,Class
2001,Vongfong,2020050900,24,TS
2001,Vongfong,2020050900,48,TS
2001,Vongfong,2020050900,72,TS
2001,Vongfong,2020050900,96,STS
2001,Vongfong,2020050906,24,TS
2001,Vongfong,2020050906,48,TS
2001,Vongfong,2020050906,72,TS
2001,Vongfong,2020050906,96,STS
2001,Vongfong,2020050912,24,TS
2001,Vongfong,2020050912,48,TS
2001,Vongfong,2020050912,72,TS
2001,Vongfong,2020050912,96,TY
2001,Vongfong,2020050918,24,TS
2001,Vongfong,2020050918,48,TS
2001,Vongfong,2020050918,72,TS
2001,Vongfong,2020050918,96,STY
2001,Vongfong,2020051000,24,TS
2001,Vongfong,2020051000,48,TS
2001,Vongfong,2020051000,72,STS
2001,Vongfong,2020051000,96,STY
2001,Vongfong,2020051006,24,TS
2001,Vongfong,2020051006,48,TS
2001,Vongfong,2020051006,72,STS
2001,Vongfong,2020051006,96,STY
2001,Vongfong,2020051012,24,TS
2001,Vongfong,2020051012,48,TS
2001,Vongfong,2020051012,72,TY
2001,Vongfong,2020051012,96,STY
2001,Vongfong,2020051018,24,TS
2001,Vongfong,2020051018,48,TS
2001,Vongfong,2020051018,72,STY
2001,Vongfong,2020051018,96,STY
2001,Vongfong,2020051100,24,TS
2001,Vongfong,2020051100,48,STS
2001,Vongfong,2020051100,72,STY
2001,Vongfong,2020051100,96,STY
2001,Vongfong,2020051106,24,TS
2001,Vongfong,2020051106,48,STS
2001,Vongfong,2020051106,72,STY
2001,Vongfong,2020051106,96,STY
2001,Vongfong,2020051112,24,TS
2001,Vongfong,2020051112,48,TY
2001,Vongfong,2020051112,72,STY
2001,Vongfong,2020051112,96,STY
2001,Vongfong,2020051118,24,TS
2001,Vongfong,2020051118,48,STY
2001,Vongfong,2020051118,72,STY
2001,Vongfong,2020051118,96,STY
2001,Vongfong,2020051200,24,STS
2001,Vongfong,2020051200,48,STY
2001,Vongfong,2020051200,72,STY
2001,Vongfong,2020051200,96,STY
2001,Vongfong,2020051206,24,STS
2001,Vongfong,2020051206,48,STY
2001,Vongfong,2020051206,72,STY
2001,Vongfong,2020051206,96,STY
