ID,Name,Date,Category,Latitude,Longitude,Pressure,Wind Speed
2006,Mekkhala,2020081018,3,22.9,118.2,985,28
2006,Mekkhala,2020081100,4,24.1,117.8,975,38
2006,Mekkhala,2020081106,1,25.5,117.0,1002,15
2007,Higos,2020081606,1,17.5,123.2,1006,13
2007,Higos,2020081612,1,17.5,123.2,1006,13
2007,Higos,2020081618,1,18.3,122.6,1006,13
2007,Higos,2020081700,1,18.8,122.0,1006,13
2007,Higos,2020081706,1,19.2,120.8,1006,13
2007,Higos,2020081712,1,19.5,119.7,1004,15
2007,Higos,2020081718,1,19.9,118.5,1004,15
2007,Higos,2020081800,2,20.3,117.0,998,18
2007,Higos,2020081806,2,20.7,115.8,990,23
2007,Higos,2020081812,4,21.1,114.8,975,33
2007,Higos,2020081818,4,21.6,113.8,970,35
2007,Higos,2020081900,3,22.2,113.1,980,30
2007,Higos,2020081906,2,23.0,112.2,995,20
2007,Higos,2020081912,1,23.9,110.9,1000,15
2008,Bavi,2020082100,1,20.5,123.3,1002,13
2008,Bavi,2020082106,1,21.3,123.5,1002,13
2008,Bavi,2020082112,1,21.9,123.3,1000,15
2008,Bavi,2020082118,1,22.5,122.9,1000,15
2008,Bavi,2020082200,2,23.3,122.6,998,18
2008,Bavi,2020082206,2,24.3,123.0,992,23
2008,Bavi,2020082212,3,25.2,123.7,985,28
2008,Bavi,2020082218,3,25.8,123.8,985,28
2008,Bavi,2020082300,3,26.3,123.9,985,28
2008,Bavi,2020082306,3,26.7,124.3,980,30
2008,Bavi,2020082312,3,27.0,124.9,980,30
2008,Bavi,2020082318,4,27.2,125.5,975,33
2008,Bavi,2020082400,4,27.3,126.2,970,35
2008,Bavi,2020082406,4,27.9,126.5,970,35
2008,Bavi,2020082412,4,28.4,126.2,965,38
2008,Bavi,2020082418,4,28.7,126.0,960,40
2008,Bavi,2020082500,4,29.1,125.8,960,40
2008,Bavi,2020082506,5,29.9,125.4,955,42
2008,Bavi,2020082512,5,30.6,125.0,955,42
2008,Bavi,2020082518,5,31.4,124.7,955,42
2008,Bavi,2020082600,5,32.4,124.5,950,45
2008,Bavi,2020082606,5,33.6,124.4,950,45
2008,Bavi,2020082612,5,35.1,124.5,955,42
2008,Bavi,2020082618,4,37.0,124.6,965,38
2008,Bavi,2020082700,3,39.2,124.7,980,30
2008,Bavi,2020082706,2,42.2,125.5,990,20
2008,Bavi,2020082712,1,44.2,126.0,998,15
2008,Bavi,2020082718,1,45.5,126.9,998,13
2009,Maysak,2020082800,1,17.2,130.9,1000,15
2009,Maysak,2020082806,1,17.0,130.3,1000,15
2009,Maysak,2020082812,2,16.6,129.9,998,18
2009,Maysak,2020082818,2,16.4,129.6,998,18
2009,Maysak,2020082900,3,16.4,129.3,990,25
2009,Maysak,2020082906,3,16.6,129.0,990,25
2009,Maysak,2020082912,3,16.8,128.9,985,28
2009,Maysak,2020082918,4,17.0,128.9,975,33
2009,Maysak,2020083000,4,17.4,129.0,965,38
2009,Maysak,2020083006,4,18.5,129.0,965,38
2009,Maysak,2020083012,5,19.6,129.0,955,42
2009,Maysak,2020083018,5,20.9,128.8,955,42
2009,Maysak,2020083100,5,22.5,128.5,955,42
2009,Maysak,2020083106,5,24.2,127.6,950,45
2009,Maysak,2020083112,5,25.1,127.1,945,48
2009,Maysak,2020083118,6,26.1,126.5,940,52
2009,Maysak,2020090100,6,26.9,126.1,940,52
2009,Maysak,2020090106,6,27.6,126.1,940,52
2009,Maysak,2020090112,6,28.4,126.3,940,52
2009,Maysak,2020090118,5,29.4,126.6,945,48
2009,Maysak,2020090200,5,30.5,126.9,950,45
2009,Maysak,2020090206,5,31.7,127.2,955,42
2009,Maysak,2020090212,5,33.3,127.9,955,42
2009,Maysak,2020090218,4,35.4,128.7,960,40
2009,Maysak,2020090300,4,39.1,129.4,970,33
2009,Maysak,2020090306,2,42.7,128.8,975,23
2009,Maysak,2020090312,2,45.1,126.9,978,18
2009,Maysak,2020090318,2,47.0,125.4,978,18
2010,Haishen,2020083100,1,23.7,147.3,1002,13
2010,Haishen,2020083106,1,23.4,146.5,1002,13
2010,Haishen,2020083112,1,23.0,145.9,1000,15
2010,Haishen,2020083118,1,22.4,145.4,1000,15
2010,Haishen,2020090100,1,21.7,145.0,1000,15
2010,Haishen,2020090106,2,20.9,144.5,998,18
2010,Haishen,2020090112,2,20.4,144.1,998,18
2010,Haishen,2020090118,2,20.0,143.6,995,20
2010,Haishen,2020090200,3,19.3,142.4,990,25
2010,Haishen,2020090206,3,19.3,141.3,980,30
2010,Haishen,2020090212,3,19.6,140.4,980,30
2010,Haishen,2020090218,4,19.9,139.4,975,33
2010,Haishen,2020090300,4,20.2,138.4,970,35
2010,Haishen,2020090306,4,20.6,137.5,965,38
2010,Haishen,2020090312,5,21.0,136.5,955,42
2010,Haishen,2020090318,5,21.3,135.8,945,48
2010,Haishen,2020090400,6,21.7,135.1,935,52
2010,Haishen,2020090406,6,22.2,134.3,925,58
2010,Haishen,2020090412,6,22.7,133.5,920,60
2010,Haishen,2020090418,6,23.3,132.6,920,60
2010,Haishen,2020090500,6,23.9,132.0,920,60
2010,Haishen,2020090506,6,24.7,131.4,925,58
2010,Haishen,2020090512,6,25.5,131.0,925,58
2010,Haishen,2020090518,6,26.4,130.7,935,52
2010,Haishen,2020090600,5,27.7,130.4,940,48
2010,Haishen,2020090606,5,29.4,130.0,940,48
2010,Haishen,2020090612,5,31.1,129.5,945,45
2010,Haishen,2020090618,5,32.9,129.2,950,42
2010,Haishen,2020090700,4,35.4,129.1,956,38
2010,Haishen,2020090706,3,38.4,128.8,970,30
2010,Haishen,2020090712,3,40.1,128.8,980,25
2010,Haishen,2020090718,2,42.6,128.4,990,20
2010,Haishen,2020090800,2,43.9,128.1,990,18
2011,Noul,2020091418,1,12.7,124.0,1005,13
2011,Noul,2020091500,1,12.5,122.5,1005,13
2011,Noul,2020091506,1,12.4,120.8,1002,15
2011,Noul,2020091512,1,12.4,119.6,1002,15
2011,Noul,2020091518,2,12.7,118.7,998,18
2011,Noul,2020091600,2,13.0,117.8,998,18
2011,Noul,2020091606,2,13.3,117.0,998,18
2011,Noul,2020091612,2,13.5,115.9,995,20
2011,Noul,2020091618,2,13.9,114.8,990,23
2011,Noul,2020091700,2,14.8,113.9,990,23
2011,Noul,2020091706,2,15.6,113.0,990,23
2011,Noul,2020091712,3,15.8,111.9,985,25
2011,Noul,2020091718,3,16.1,110.4,985,25
2011,Noul,2020091800,3,16.4,108.0,985,25
2011,Noul,2020091806,2,16.3,105.8,992,18
2011,Noul,2020091812,1,16.4,103.9,994,15
2011,Noul,2020091818,1,16.5,102.3,996,13
2011,Noul,2020091900,1,16.4,100.5,996,13
2012,Dolphin,2020092000,1,23.5,134.2,1002,13
2012,Dolphin,2020092006,1,23.9,134.2,1002,13
2012,Dolphin,2020092012,1,24.1,134.5,1000,15
2012,Dolphin,2020092018,1,24.4,134.8,1000,15
2012,Dolphin,2020092100,2,24.9,134.9,998,18
2012,Dolphin,2020092106,2,25.3,134.9,995,20
2012,Dolphin,2020092112,2,25.7,134.9,995,20
2012,Dolphin,2020092118,2,26.2,135.0,990,23
